Date,Open,High,Low,Close,Adj Close,Volume
2017-03-14,7.18,7.22,7.17,7.2,7.2,4730700
2017-03-15,7.26,7.26,7.19,7.21,7.21,12380400
2017-03-16,7.09,7.14,7.05,7.06,7.06,8834100
2017-03-17,7.05,7.06,7.02,7.05,7.05,8409400
2017-03-20,7.05,7.05,6.99,7.0,7.0,11271700
2017-03-21,7.0,7.0,6.94,6.96,6.96,7250700
2017-03-22,7.07,7.07,7.01,7.05,7.05,9333500
2017-03-23,7.03,7.04,7.0,7.04,7.04,5294100
2017-03-24,7.02,7.05,7.01,7.03,7.03,9184500
2017-03-27,7.1,7.1,7.0,7.06,7.06,9313100
2017-03-28,7.03,7.04,7.01,7.02,7.02,3371300
2017-03-29,7.0,7.03,6.99,7.01,7.01,6820600
2017-03-30,7.01,7.06,7.01,7.04,7.04,3695900
2017-03-31,7.04,7.1,7.03,7.08,7.08,6184000
2017-04-03,7.06,7.08,7.05,7.06,7.06,3332600
2017-04-05,7.04,7.09,7.01,7.03,7.03,4683700
2017-04-06,7.04,7.07,7.02,7.05,7.05,8910500
2017-04-07,7.07,7.14,7.04,7.05,7.05,11997600
2017-04-10,7.04,7.06,7.02,7.06,7.06,6017600
2017-04-11,7.05,7.13,7.04,7.1,7.1,5468200
2017-04-12,7.12,7.13,7.04,7.04,7.04,3396100
2017-04-13,7.08,7.08,7.01,7.05,7.05,4764200
2017-04-18,7.08,7.17,7.08,7.16,7.16,7111600
2017-04-19,7.19,7.21,7.16,7.17,7.17,5304400
2017-04-20,7.17,7.18,7.1,7.11,7.11,5340600
2017-04-21,7.1,7.13,7.06,7.12,7.12,5627200
2017-04-24,7.08,7.14,7.06,7.08,7.08,6398800
2017-04-25,7.07,7.07,6.99,7.0,7.0,6262900
2017-04-26,6.98,6.98,6.93,6.96,6.96,6984400
2017-04-27,6.97,6.99,6.9,6.92,6.92,6512000
2017-04-28,6.92,6.95,6.92,6.94,6.94,4265600
2017-05-02,6.94,6.95,6.89,6.92,6.92,5838000
2017-05-04,6.95,6.96,6.92,6.93,6.93,3739200
2017-05-05,6.96,7.02,6.94,6.99,6.99,6544900
2017-05-08,6.96,6.98,6.94,6.97,6.97,3986600
2017-05-09,6.95,6.97,6.85,6.86,6.86,7716800
2017-05-10,6.85,6.85,6.78,6.83,6.83,12214800
2017-05-11,6.82,6.82,6.78,6.8,6.8,20685500
2017-05-12,6.8,6.81,6.78,6.8,6.8,12896200
2017-05-15,6.78,6.78,6.71,6.71,6.71,13131500
