Date,Open,High,Low,Close,Adj Close,Volume
2010-10-29,21.9728,23.1213,21.773000000000003,21.9728,21.9728,2214406404
2010-11-01,22.9715,23.5708,22.8717,22.9715,22.9715,354288959
2010-11-02,22.9715,22.9715,22.5221,22.622,22.622,165795570
2010-11-03,22.622,22.7718,22.4222,22.622,22.622,181364196
2010-11-04,22.7218,22.8717,22.6719,22.8717,22.8717,107108566
2010-11-05,23.1713,23.7206,22.9715,23.0215,23.0215,218154896
2010-11-08,23.0714,23.6707,23.0714,23.6207,23.6207,151807278
2010-11-09,23.5708,23.9204,23.4709,23.6707,23.6707,186787428
2010-11-10,23.6207,23.6207,23.1213,23.5209,23.5209,170176318
2010-11-11,23.8205,24.5696,23.5209,24.4197,24.4197,609203714
2010-11-12,23.9703,23.9703,23.3211,23.3211,23.3211,181891552
2010-11-15,23.8205,23.8205,23.2212,23.4709,23.4709,58157760
2010-11-16,23.5708,23.5708,22.9216,23.371,23.371,66258996
2010-11-17,23.1213,23.2712,22.6719,22.6719,22.6719,80271002
2010-11-18,23.1213,23.371,22.9715,23.2712,23.2712,58038403
2010-11-19,23.371,23.371,22.9715,23.2212,23.2212,34120123
2010-11-22,23.2212,23.2712,22.8717,22.9715,22.9715,42937986
2010-11-23,22.7718,23.0215,22.622,22.7218,22.7218,57604845
2010-11-24,22.7218,22.8717,22.4722,22.6719,22.6719,71606551
2010-11-25,22.8717,22.8717,22.4722,22.622,22.622,33543250
2010-11-26,22.5221,22.622,22.3723,22.5221,22.5221,36355685
2010-11-29,22.3723,22.6719,22.3723,22.572,22.572,29478529
2010-11-30,22.5221,22.622,22.1725,22.3723,22.3723,56358898
2010-12-01,22.6719,23.0714,22.5221,22.8717,22.8717,72802933
2010-12-02,23.2212,23.421,22.572,22.8217,22.8217,151491194
2010-12-03,22.5221,22.7218,22.4722,22.5221,22.5221,90298637
2010-12-06,22.7718,22.8217,22.3723,22.4722,22.4722,43998297
2010-12-07,22.3223,22.572,22.1725,22.4722,22.4722,33546242
2010-12-08,22.5221,22.6719,22.3723,22.5221,22.5221,54554172
2010-12-09,22.4722,22.572,22.3223,22.3723,22.3723,30037818
2010-12-10,22.2225,22.3723,22.1226,22.2225,22.2225,37053699
2010-12-13,22.3223,22.4722,22.1725,22.2724,22.2724,37861133
2010-12-14,22.2225,22.3223,22.0726,22.1226,22.1226,29359733
2010-12-15,22.1226,22.2225,21.9228,22.1725,22.1725,59685146
2010-12-16,22.0726,22.1226,21.823,21.9228,21.9228,54384062
2010-12-17,21.9728,22.4722,21.9228,22.3223,22.3223,44284986
2010-12-20,22.3223,22.3223,21.9728,22.1226,22.1226,21985958
2010-12-21,22.1725,22.2724,22.0227,22.0726,22.0726,16351247
2010-12-22,22.0227,22.1226,21.7231,21.773000000000003,21.773000000000003,57414850
2010-12-23,21.9728,22.1226,21.823,21.9228,21.9228,38906764
2010-12-24,21.8729,21.9728,21.823,21.9228,21.9228,10826496
2010-12-28,21.823,21.9228,21.7231,21.8729,21.8729,15953600
2010-12-29,21.773000000000003,22.1725,21.773000000000003,21.9728,21.9728,24665722
2010-12-30,22.2724,22.2724,22.0227,22.1226,22.1226,16080410
2010-12-31,22.2724,22.2724,21.6232,21.823,21.823,9596693
2011-01-03,22.0726,22.2724,21.9728,22.2225,22.2225,13705173
2011-01-04,22.7718,22.7718,22.3223,22.4222,22.4222,26916819
2011-01-05,22.572,22.572,22.3223,22.5221,22.5221,24733753
2011-01-06,22.622,22.622,22.1725,22.2225,22.2225,27148821
2011-01-07,22.3223,22.4222,22.1226,22.2724,22.2724,26760325
2011-01-10,22.2724,22.2724,21.7231,21.773000000000003,21.773000000000003,44962920
2011-01-11,21.773000000000003,21.823,21.5733,21.6731,21.6731,38631111
2011-01-12,21.6731,21.6731,21.1738,21.4234,21.4234,51594412
2011-01-13,21.6232,21.823,21.5733,21.7231,21.7231,51894290
2011-01-14,21.7231,21.7231,21.3236,21.3735,21.3735,42996316
2011-01-17,21.3735,21.4734,20.974,21.1738,21.1738,42672095
2011-01-18,21.1738,21.4234,21.0739,21.1238,21.1238,27095600
2011-01-19,21.4234,21.773000000000003,21.3236,21.6731,21.6731,46643105
2011-01-20,21.5233,21.9228,21.5233,21.773000000000003,21.773000000000003,36944669
2011-01-21,21.6232,21.773000000000003,21.5733,21.6232,21.6232,19082580
2011-01-24,21.773000000000003,22.0726,21.5733,21.8729,21.8729,31604657
2011-01-25,21.8729,21.9728,21.6232,21.773000000000003,21.773000000000003,17308848
2011-01-26,21.8729,21.9228,21.4734,21.6731,21.6731,15574800
2011-01-27,21.9228,21.9728,21.773000000000003,21.773000000000003,21.773000000000003,20100338
2011-01-28,21.9728,21.9728,21.5733,21.7231,21.7231,18614425
2011-01-31,21.4234,21.6232,21.2736,21.3735,21.3735,27054564
2011-02-01,21.5733,21.6232,21.2736,21.4734,21.4734,19244687
2011-02-02,21.6232,21.7231,21.4734,21.5733,21.5733,14623381
2011-02-07,21.8729,22.0227,21.823,22.0227,22.0227,40023172
2011-02-08,22.0726,22.4222,21.9728,22.3723,22.3723,35337898
2011-02-09,22.4722,22.4722,21.9728,22.0227,22.0227,47666371
2011-02-10,22.0227,22.4222,21.9728,22.0726,22.0726,47867000
2011-02-11,22.3223,22.572,22.1725,22.4222,22.4222,42156075
2011-02-14,22.1226,22.4222,22.1226,22.4222,22.4222,24880077
2011-02-15,22.3723,22.4722,22.3223,22.3723,22.3723,20133304
2011-02-16,22.4722,22.4722,22.0227,22.1725,22.1725,14047991
2011-02-17,22.1226,22.1725,21.773000000000003,21.823,21.823,25005151
2011-02-18,21.9728,22.0227,21.6731,21.773000000000003,21.773000000000003,18877811
2011-02-21,21.773000000000003,21.773000000000003,21.5233,21.5733,21.5733,24000367
2011-02-22,21.4734,21.5733,21.2736,21.4734,21.4734,15120699
2011-02-23,21.5233,21.5733,21.2736,21.3236,21.3236,16645527
2011-02-24,21.2237,21.4734,20.974,21.0739,21.0739,31586382
2011-02-25,21.9728,22.572,21.7231,22.2225,22.2225,101770244
2011-02-28,22.572,22.7718,22.3723,22.7218,22.7218,70573760
2011-03-01,22.7218,22.9216,22.5221,22.572,22.572,52176705
2011-03-02,22.3723,22.4722,22.1226,22.4222,22.4222,24220188
2011-03-03,22.4222,22.8217,22.4222,22.7218,22.7218,29960222
2011-03-04,22.9715,22.9715,22.6719,22.8217,22.8217,40771345
2011-03-07,23.1713,23.2212,22.8717,22.9715,22.9715,48159247
2011-03-08,23.1213,23.9204,23.0714,23.8704,23.8704,135198458
2011-03-09,23.9703,24.0702,23.5209,23.6207,23.6207,52142005
2011-03-10,23.8704,23.8704,23.371,23.6707,23.6707,27836410
2011-03-11,23.4709,23.5708,22.7718,23.0215,23.0215,50362079
2011-03-14,22.8717,23.0714,22.4722,22.9715,22.9715,39384354
2011-03-15,22.7718,22.8217,21.7231,22.6719,22.6719,70838311
2011-03-16,22.9715,23.2212,22.7218,23.0714,23.0714,55554818
2011-03-17,22.7718,22.9216,22.622,22.7218,22.7218,55259267
2011-03-18,22.9216,22.9216,22.4222,22.572,22.572,40772916
2011-03-21,22.6719,23.0714,22.622,22.9715,22.9715,27554187
2011-03-22,23.1213,23.1213,22.8717,23.0215,23.0215,26673180
2011-03-23,22.9715,23.6207,22.9715,23.4709,23.4709,61491705
2011-03-24,23.7206,23.9204,23.5708,23.8205,23.8205,70485245
2011-03-25,23.9703,24.0702,23.4709,23.9703,23.9703,73641524
2011-03-28,23.5708,24.17,23.5708,23.8704,23.8704,37667798
2011-03-29,23.8205,23.9703,23.7705,23.8704,23.8704,25826313
2011-03-30,24.1201,24.1201,23.7705,23.7705,23.7705,25061926
2011-03-31,23.9703,24.1201,23.8205,23.9204,23.9204,38490133
