Date,Open,High,Low,Close,Adj Close,Volume
2018-08-08,1.26,1.29,1.26,1.26,1.26,4359722450
2018-08-09,1.27,1.28,1.26,1.28,1.28,1592936500
2018-08-10,1.28,1.3,1.27,1.3,1.3,2057612936
2018-08-13,1.29,1.3,1.27,1.29,1.29,1012233500
2018-08-14,1.28,1.29,1.26,1.27,1.27,1159999000
2018-08-15,1.27,1.27,1.23,1.23,1.23,1965621000
2018-08-16,1.22,1.24,1.21,1.22,1.22,696574500
2018-08-17,1.23,1.25,1.21,1.24,1.24,816088000
2018-08-20,1.26,1.27,1.25,1.26,1.26,803804915
2018-08-21,1.27,1.28,1.25,1.27,1.27,1870232751
2018-08-22,1.27,1.27,1.25,1.26,1.26,1957996851
2018-08-23,1.27,1.27,1.25,1.26,1.26,212553611
2018-08-24,1.25,1.26,1.24,1.25,1.25,298424150
2018-08-27,1.26,1.27,1.25,1.25,1.25,116325629
2018-08-28,1.26,1.26,1.24,1.25,1.25,453368000
2018-08-29,1.25,1.26,1.25,1.26,1.26,97428000
2018-08-30,1.25,1.26,1.23,1.23,1.23,391002536
2018-08-31,1.23,1.24,1.15,1.2,1.2,623325057
2018-09-03,1.2,1.2,1.17,1.18,1.18,235520653
2018-09-04,1.18,1.19,1.09,1.1,1.1,645744000
2018-09-05,1.09,1.09,0.99,1.03,1.03,1177455264
2018-09-06,1.06,1.09,1.04,1.07,1.07,657512277
2018-09-07,1.08,1.17,1.08,1.15,1.15,1203112034
2018-09-10,1.14,1.19,1.13,1.18,1.18,599996000
2018-09-11,1.19,1.2,1.15,1.17,1.17,475443303
2018-09-12,1.18,1.18,1.14,1.15,1.15,244728000
2018-09-13,1.16,1.18,1.15,1.16,1.16,407564000
2018-09-14,1.17,1.17,1.15,1.16,1.16,135122064
2018-09-17,1.16,1.19,1.16,1.17,1.17,385432000
2018-09-18,1.17,1.19,1.16,1.17,1.17,394342000
2018-09-19,1.18,1.19,1.17,1.18,1.18,104710000
2018-09-20,1.19,1.19,1.18,1.18,1.18,56975000
2018-09-21,1.19,1.2,1.17,1.18,1.18,687890343
2018-09-24,1.18,1.19,1.17,1.18,1.18,68368100
