Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.9688,43.9688,43.75,43.9375,26.9049,1003200
1993-02-01,43.9688,44.25,43.9688,44.25,27.0958,480500
1993-02-02,44.2188,44.375,44.125,44.3438,27.1531,201300
1993-02-03,44.4062,44.8438,44.375,44.8125,27.4404,529400
1993-02-04,44.9688,45.0938,44.875,45.0,27.5553,531500
1993-02-05,44.9688,45.0625,44.7188,44.9688,27.5359,492100
1993-02-08,44.9688,45.125,44.9062,44.9688,27.5359,596100
1993-02-09,44.8125,44.8125,44.5625,44.6562,27.3442,122100
1993-02-10,44.6562,44.75,44.5312,44.7188,27.3828,379600
1993-02-11,44.7812,45.125,44.7812,44.9375,27.5167,19500
1993-02-12,44.875,44.875,44.5938,44.5938,27.305999999999997,42500
1993-02-16,44.4688,44.4688,43.4062,43.4688,26.6177,374800
1993-02-17,43.4688,43.5312,43.2812,43.4375,26.5982,210900
1993-02-18,43.9375,43.9375,42.8125,43.4062,26.5791,378100
1993-02-19,43.4062,43.5625,43.3438,43.5625,26.675,34900
1993-02-22,43.6875,43.7812,43.5625,43.7188,26.7711,513600
1993-02-23,43.8438,43.875,43.4688,43.6875,26.7517,373700
1993-02-24,43.7188,44.25,43.7188,44.25,27.0958,26300
1993-02-25,44.2188,44.375,44.125,44.3438,27.1531,44500
1993-02-26,44.4375,44.4375,44.1875,44.4062,27.1915,66200
1993-03-01,44.5625,44.5625,44.2188,44.2812,27.1148,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,27.5167,182400
1993-03-03,45.0,45.1562,44.9375,45.125,27.6316,280100
1993-03-04,45.1875,45.1875,44.875,44.875,27.4783,89500
1993-03-05,44.9375,45.125,44.7188,44.75,27.4014,40000
1993-03-08,44.8438,45.75,44.8438,45.75,28.0141,50800
1993-03-09,45.6562,45.6875,45.5,45.5938,27.9186,169300
1993-03-10,45.5938,45.6875,45.4062,45.6875,27.9757,194400
1993-03-11,45.7188,45.8438,45.5,45.5625,27.8993,70900
1993-03-12,45.1875,45.2188,44.8125,45.0938,27.6124,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,27.7462,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,27.7462,30800
1993-03-17,45.25,45.25,44.9688,45.0312,27.5742,21800
1993-03-18,45.2188,45.5,45.2188,45.3125,27.7462,59300
1993-03-19,45.2812,45.2812,45.0312,45.0312,27.7047,66900
1993-03-22,44.5938,44.875,44.5625,44.7812,27.5508,183400
